Accession,Description,Sum(Coverage),Sum(# Proteins),Sum(# Unique Peptides),Sum(# Peptides),Sum(# PSMs),# AAs,MW [kDa],calc. pI
Q3UNX5,"Acyl-coenzyme A synthetase ACSM3, mitochondrial OS=Mus musculus GN=Acsm3 PE=1 SV=2 - [ACSM3_MOUSE]",2.59%,1,1,1,1,580,65.6,7.46
Q8K1E6,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 OS=Mus musculus GN=Alkbh3 PE=1 SV=1 - [ALKB3_MOUSE],13.64%,3,3,3,4,286,33,8.06
Q60765,Cyclic AMP-dependent transcription factor ATF-3 OS=Mus musculus GN=Atf3 PE=2 SV=1 - [ATF3_MOUSE],9.94%,1,2,2,3,181,20.7,8.56
P0C7T6,Ataxin-1-like OS=Mus musculus GN=Atxn1l PE=1 SV=1 - [ATX1L_MOUSE],3.35%,1,2,2,3,687,73.3,6.49
Q99MP8,BRCA1-associated protein OS=Mus musculus GN=Brap PE=2 SV=1 - [BRAP_MOUSE],17.09%,2,9,10,21,591,66.9,5.64
Q640L5,Coiled-coil domain-containing protein 18 OS=Mus musculus GN=Ccdc18 PE=2 SV=1 - [CCD18_MOUSE],0.41%,1,1,1,3,1455,169.6,5.49
Q9CZL2,Uncharacterized protein C4orf32 homolog OS=Mus musculus PE=2 SV=1 - [CD032_MOUSE],15.27%,1,1,1,1,131,14.5,4.97
Q8CDI6,Coiled-coil domain-containing protein 158 OS=Mus musculus GN=Ccdc158 PE=2 SV=1 - [CD158_MOUSE],1.44%,1,1,2,5,1109,126.7,6.4
A2A6Q5,Cell division cycle protein 27 homolog OS=Mus musculus GN=Cdc27 PE=1 SV=1 - [CDC27_MOUSE],8.24%,2,6,6,9,825,91.8,7.02
Q99NF3,Centrosomal protein of 41 kDa OS=Mus musculus GN=Cep41 PE=1 SV=1 - [CEP41_MOUSE],16.62%,4,4,4,5,373,41.4,8.12
Q3UPP8,Centrosomal protein of 63 kDa OS=Mus musculus GN=Cep63 PE=2 SV=2 - [CEP63_MOUSE],2.86%,2,1,2,2,700,80.4,5.72
Q9Z1R4,Uncharacterized protein C6orf47 homolog OS=Mus musculus GN=D17h6s53e PE=2 SV=1 - [CF047_MOUSE],17.75%,1,5,5,10,293,32,6.89
Q8VE95,UPF0598 protein C8orf82 homolog OS=Mus musculus PE=2 SV=1 - [CH082_MOUSE],17.43%,1,3,3,5,218,24.3,8.7
Q921W0,Charged multivesicular body protein 1a OS=Mus musculus GN=Chmp1a PE=1 SV=1 - [CHM1A_MOUSE],19.39%,1,5,5,16,196,21.6,8.06
Q3UY34,Uncharacterized protein C12orf43 homolog OS=Mus musculus PE=2 SV=1 - [CL043_MOUSE],31.25%,2,5,5,6,256,27.6,8.7
Q8CJ40,Rootletin OS=Mus musculus GN=Crocc PE=1 SV=2 - [CROCC_MOUSE],1.05%,1,2,2,2,2009,226.8,5.55
Q9D0P0,Emopamil-binding protein-like OS=Mus musculus GN=Ebpl PE=2 SV=1 - [EBPL_MOUSE],4.37%,1,1,1,2,206,23.3,6.89
P70245,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase OS=Mus musculus GN=Ebp PE=1 SV=3 - [EBP_MOUSE]",9.57%,2,2,2,6,230,26.2,7.56
Q9JHC9,ETS-related transcription factor Elf-2 OS=Mus musculus GN=Elf2 PE=1 SV=1 - [ELF2_MOUSE],6.58%,2,2,3,5,593,63.2,6.42
P60840,Alpha-endosulfine OS=Mus musculus GN=Ensa PE=1 SV=1 - [ENSA_MOUSE],62.81%,1,5,6,32,121,13.3,7.24
Q9DCL2,MIP18 family protein FAM96A OS=Mus musculus GN=Fam96a PE=2 SV=1 - [FA96A_MOUSE],18.75%,1,2,2,2,160,18.4,4.82
Q8C180,Fibroblast growth factor receptor substrate 2 OS=Mus musculus GN=Frs2 PE=1 SV=3 - [FRS2_MOUSE],5.51%,1,2,2,3,508,56.8,6.16
Q8BHC9,"Alpha-(1,3)-fucosyltransferase 11 OS=Mus musculus GN=Fut11 PE=1 SV=1 - [FUT11_MOUSE]",18.20%,1,5,5,8,489,55.5,6.23
P70213,Friend virus susceptibility protein 1 OS=Mus musculus GN=Fv1 PE=2 SV=1 - [FV1_MOUSE],1.31%,1,1,1,1,459,52,5.26
Q61090,Frizzled-7 OS=Mus musculus GN=Fzd7 PE=1 SV=2 - [FZD7_MOUSE],1.75%,1,1,1,1,572,63.7,7.91
Q60779,Growth arrest-specific protein 8 OS=Mus musculus GN=Gas8 PE=1 SV=2 - [GAS8_MOUSE],1.26%,1,1,1,1,478,56.2,7.88
Q9D7X8,Gamma-glutamylcyclotransferase OS=Mus musculus GN=Ggct PE=1 SV=1 - [GGCT_MOUSE],35.11%,1,8,8,19,188,21.2,5.67
Q8R2X8,Golgin-45 OS=Mus musculus GN=Blzf1 PE=2 SV=2 - [GO45_MOUSE],9.93%,1,3,3,3,403,45.5,7.59
Q8BWS5,G protein-regulated inducer of neurite outgrowth 3 OS=Mus musculus GN=Gprin3 PE=1 SV=1 - [GRIN3_MOUSE],13.50%,2,7,7,10,763,80.4,7.02
Q8C5Q4,G-rich sequence factor 1 OS=Mus musculus GN=Grsf1 PE=1 SV=2 - [GRSF1_MOUSE],3.34%,1,1,1,2,479,53,6.67
P49182,Heparin cofactor 2 OS=Mus musculus GN=Serpind1 PE=1 SV=1 - [HEP2_MOUSE],1.46%,1,1,1,1,478,54.5,7.34
Q9D8V0,Minor histocompatibility antigen H13 OS=Mus musculus GN=Hm13 PE=1 SV=1 - [HM13_MOUSE],10.58%,3,5,5,28,378,41.7,6.04
Q9ER81,"Torsin-1A-interacting protein 2, isoform IFRG15 OS=Mus musculus GN=Tor1aip2 PE=2 SV=1 - [IFG15_MOUSE]",11.45%,1,1,1,2,131,15.3,7.31
Q7TQ95,Protein lunapark OS=Mus musculus GN=Lnp PE=1 SV=1 - [LNP_MOUSE],25.88%,4,7,7,9,425,47.5,5.27
Q6NXH8,Methyltransferase-like protein 25 OS=Mus musculus GN=Mettl25 PE=2 SV=1 - [MET25_MOUSE],2.18%,1,1,1,1,597,66.7,6.64
Q9DC37,Major facilitator superfamily domain-containing protein 1 OS=Mus musculus GN=Mfsd1 PE=1 SV=1 - [MFSD1_MOUSE],2.37%,1,1,1,1,464,51.4,8.21
Q8VDV8,MIT domain-containing protein 1 OS=Mus musculus GN=Mitd1 PE=1 SV=1 - [MITD1_MOUSE],3.61%,1,1,1,2,249,28.8,8.06
Q69ZX6,MORC family CW-type zinc finger protein 2A OS=Mus musculus GN=Morc2a PE=1 SV=2 - [MOR2A_MOUSE],3.50%,1,2,2,2,1030,117.3,8.34
P28667,MARCKS-related protein OS=Mus musculus GN=Marcksl1 PE=1 SV=2 - [MRP_MOUSE],7.50%,1,1,1,1,200,20.2,4.61
P02802,Metallothionein-1 OS=Mus musculus GN=Mt1 PE=1 SV=1 - [MT1_MOUSE],19.67%,1,1,1,1,61,6,7.96
Q6A037,NEDD4-binding protein 1 OS=Mus musculus GN=N4bp1 PE=1 SV=2 - [N4BP1_MOUSE],3.14%,2,3,3,7,893,99.1,5.74
A2AI05,NADPH-dependent diflavin oxidoreductase 1 OS=Mus musculus GN=Ndor1 PE=2 SV=1 - [NDOR1_MOUSE],7.19%,2,2,3,8,598,67.1,6.61
O88491,"Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific OS=Mus musculus GN=Nsd1 PE=1 SV=1 - [NSD1_MOUSE]",1.24%,2,2,3,5,2588,283.9,7.9
Q9D6V8,Polyadenylate-binding protein-interacting protein 2 OS=Mus musculus GN=Paip2 PE=2 SV=1 - [PAIP2_MOUSE],39.52%,2,5,5,13,124,14.7,4.12
Q8BYI6,Lysophosphatidylcholine acyltransferase 2 OS=Mus musculus GN=Lpcat2 PE=1 SV=1 - [PCAT2_MOUSE],6.99%,1,3,3,4,544,60.2,5.83
Q62011,Podoplanin OS=Mus musculus GN=Pdpn PE=1 SV=2 - [PDPN_MOUSE],7.56%,1,1,1,2,172,18.2,5.53
O70161,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma OS=Mus musculus GN=Pip5k1c PE=1 SV=2 - [PI51C_MOUSE],13.46%,6,5,7,12,661,72.4,5.59
Q9ERT9,Protein phosphatase 1 regulatory subunit 1A OS=Mus musculus GN=Ppp1r1a PE=2 SV=1 - [PPR1A_MOUSE],5.85%,1,1,1,2,171,18.7,5.25
Q91VJ5,Polyglutamine-binding protein 1 OS=Mus musculus GN=Pqbp1 PE=1 SV=1 - [PQBP1_MOUSE],46.39%,3,11,11,27,263,30.6,6.23
Q9D1T5,Proline-rich protein 15 OS=Mus musculus GN=Prr15 PE=2 SV=1 - [PRR15_MOUSE],64.75%,1,6,6,42,122,13.6,8.13
O35955,Proteasome subunit beta type-10 OS=Mus musculus GN=Psmb10 PE=1 SV=1 - [PSB10_MOUSE],5.13%,1,1,1,4,273,29,6.87
Q99LL5,Periodic tryptophan protein 1 homolog OS=Mus musculus GN=Pwp1 PE=1 SV=1 - [PWP1_MOUSE],6.79%,2,3,3,4,501,55.6,4.82
Q9DAI2,Intraflagellar transport protein 22 homolog OS=Mus musculus GN=Ift22 PE=1 SV=1 - [IFT22_MOUSE],43.78%,1,6,6,11,185,20.8,5.25
Q6PGA0,REST corepressor 3 OS=Mus musculus GN=Rcor3 PE=2 SV=2 - [RCOR3_MOUSE],9.09%,1,3,4,11,451,49.7,8.44
Q920A5,Retinoid-inducible serine carboxypeptidase OS=Mus musculus GN=Scpep1 PE=2 SV=2 - [RISC_MOUSE],11.73%,1,5,5,8,452,50.9,5.66
Q7TND5,Ribosome production factor 1 OS=Mus musculus GN=Rpf1 PE=2 SV=2 - [RPF1_MOUSE],7.16%,1,1,1,1,349,40,9.99
Q9DC71,"28S ribosomal protein S15, mitochondrial OS=Mus musculus GN=Mrps15 PE=2 SV=2 - [RT15_MOUSE]",7.36%,1,1,1,1,258,29.4,10.13
Q31125,Zinc transporter SLC39A7 OS=Mus musculus GN=Slc39a7 PE=1 SV=2 - [S39A7_MOUSE],12.82%,1,5,5,42,476,50.6,6.87
Q7TPE5,Probable RNA polymerase II nuclear localization protein SLC7A6OS OS=Mus musculus GN=Slc7a6os PE=1 SV=1 - [S7A6O_MOUSE],4.25%,1,1,1,3,306,35,4.58
Q63918,Serum deprivation-response protein OS=Mus musculus GN=Sdpr PE=1 SV=3 - [SDPR_MOUSE],5.26%,1,2,2,3,418,46.7,5.21
E9Q942,Small integral membrane protein 13 OS=Mus musculus GN=Smim13 PE=3 SV=1 - [SIM13_MOUSE],35.23%,1,1,1,1,88,9.9,6.27
Q9D4B1,Phosphatidylcholine:ceramide cholinephosphotransferase 2 OS=Mus musculus GN=Sgms2 PE=2 SV=2 - [SMS2_MOUSE],4.38%,1,1,1,1,365,42.2,8.95
Q6PHU5,Sortilin OS=Mus musculus GN=Sort1 PE=1 SV=1 - [SORT_MOUSE],4.97%,2,2,2,2,825,91.1,5.88
Q9WU81,Sugar phosphate exchanger 2 OS=Mus musculus GN=Slc37a2 PE=1 SV=1 - [SPX2_MOUSE],5.59%,1,2,2,2,501,55,6.37
Q3TIT8,Sugar phosphate exchanger 3 OS=Mus musculus GN=Slc37a3 PE=2 SV=1 - [SPX3_MOUSE],1.21%,1,1,1,1,494,54.5,5.48
Q62270,Tyrosine-protein kinase Srms OS=Mus musculus GN=Srms PE=2 SV=2 - [SRMS_MOUSE],2.42%,4,1,2,3,496,55.7,7.14
Q9CYZ8,Single-stranded DNA-binding protein 2 OS=Mus musculus GN=Ssbp2 PE=1 SV=1 - [SSBP2_MOUSE],13.57%,3,3,4,9,361,37.8,6.64
Q9DBQ9,Transcriptional protein SWT1 OS=Mus musculus GN=Swt1 PE=2 SV=3 - [SWT1_MOUSE],0.88%,1,1,1,1,907,103.1,8.22
Q80YX1,Tenascin OS=Mus musculus GN=Tnc PE=1 SV=1 - [TENA_MOUSE],0.38%,1,1,1,1,2110,231.7,4.89
Q99MX0,Transketolase-like protein 1 OS=Mus musculus GN=Tktl1 PE=2 SV=2 - [TKTL1_MOUSE],3.03%,2,1,3,6,595,65.2,6.02
Q4VAE3,Transmembrane protein 65 OS=Mus musculus GN=Tmem65 PE=2 SV=1 - [TMM65_MOUSE],17.95%,1,4,4,15,234,24.9,7.78
Q9DCC8,Mitochondrial import receptor subunit TOM20 homolog OS=Mus musculus GN=Tomm20 PE=1 SV=1 - [TOM20_MOUSE],8.97%,1,1,1,1,145,16.3,8.6
Q9JLV2,Short transient receptor potential channel 4-associated protein OS=Mus musculus GN=Trpc4ap PE=1 SV=2 - [TP4AP_MOUSE],0.75%,1,1,1,1,797,90.7,7.59
Q8CGV9,Teashirt homolog 3 OS=Mus musculus GN=Tshz3 PE=1 SV=2 - [TSH3_MOUSE],0.56%,1,1,1,1,1081,118.6,7.03
Q62187,Transcription termination factor 1 OS=Mus musculus GN=Ttf1 PE=1 SV=2 - [TTF1_MOUSE],1.28%,1,1,1,1,859,97.7,9.38
Q8BTV1,Tumor suppressor candidate 3 OS=Mus musculus GN=Tusc3 PE=2 SV=1 - [TUSC3_MOUSE],2.31%,1,1,1,1,347,39.5,10.11
Q8BJM7,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase OS=Mus musculus GN=Tyw1 PE=1 SV=1 - [TYW1_MOUSE],9.43%,2,4,5,10,721,81.5,7.83
Q9CRC0,Vitamin K epoxide reductase complex subunit 1 OS=Mus musculus GN=Vkorc1 PE=2 SV=1 - [VKOR1_MOUSE],8.07%,1,1,1,17,161,17.8,9.14
Q924H7,WW domain-containing adapter protein with coiled-coil OS=Mus musculus GN=Wac PE=1 SV=2 - [WAC_MOUSE],13.16%,9,6,6,8,646,70.6,9.45
Q8VFV4,Olfactory receptor 1440 OS=Mus musculus GN=Olfr1440 PE=2 SV=1 - [O1440_MOUSE],10.16%,1,1,1,1,315,34.9,8.5
Q3V113,Protein Pygo2 OS=Mus musculus GN=Pygo2 PE=2 SV=1 - [Q3V113_MOUSE],8.97%,2,2,2,2,368,37.5,6.52
G5E8B5,MCG22579 OS=Mus musculus GN=Scgb1c1 PE=4 SV=1 - [G5E8B5_MOUSE],7.37%,1,1,1,1,95,10.5,4.41
Q3TNN4,Solute carrier family 25 member 44 OS=Mus musculus GN=Slc25a44 PE=2 SV=1 - [Q3TNN4_MOUSE],5.70%,3,1,1,1,228,25.8,9.61
Q80ZM5,"H1 histone family, member X OS=Mus musculus GN=H1fx PE=1 SV=1 - [Q80ZM5_MOUSE]",6.38%,1,1,1,1,188,20.1,11.22
Q8C4Y1,Max protein OS=Mus musculus GN=Max PE=2 SV=1 - [Q8C4Y1_MOUSE],6.62%,3,1,1,4,151,17.2,6.55
Q8VGL5,Olfactory receptor OS=Mus musculus GN=Olfr525 PE=2 SV=1 - [Q8VGL5_MOUSE],2.59%,2,1,1,1,309,34.1,8.37
Q9D976,Protein Trp53tg5 OS=Mus musculus GN=Trp53tg5 PE=2 SV=1 - [Q9D976_MOUSE],2.52%,1,1,1,1,238,27.8,10.84
Q9D1F9,Protein Slc37a4 OS=Mus musculus GN=Slc37a4 PE=2 SV=1 - [Q9D1F9_MOUSE],3.03%,1,1,1,1,429,46,8.88
D4QGC2,Mastermind-2 OS=Mus musculus GN=Maml3 PE=2 SV=1 - [D4QGC2_MOUSE],2.47%,1,3,3,4,1135,121.6,7.53
Q7TS40,Olfactory receptor OS=Mus musculus GN=Olfr198 PE=2 SV=1 - [Q7TS40_MOUSE],2.29%,1,1,1,2,306,34.8,8.87
Q4V9V3,Elongation of very long chain fatty acids protein OS=Mus musculus GN=Elovl1 PE=2 SV=1 - [Q4V9V3_MOUSE],12.87%,2,2,2,8,202,23.7,9.76
G5E8C3,"G protein-coupled receptor, family C, group 5, member A OS=Mus musculus GN=Gprc5a PE=1 SV=1 - [G5E8C3_MOUSE]",12.64%,2,5,5,16,356,40.1,7.85
M0QWM1,X-linked retinitis pigmentosa GTPase regulator-interacting protein 1 (Fragment) OS=Mus musculus GN=Rpgrip1 PE=4 SV=1 - [M0QWM1_MOUSE],8.14%,1,1,1,1,295,34,4.45
G3UYS3,N6-adenosine-methyltransferase subunit METTL14 OS=Mus musculus GN=Mettl14 PE=4 SV=1 - [G3UYS3_MOUSE],11.14%,4,4,4,6,377,44,5.14
A2AFW5,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 OS=Mus musculus GN=Ptpmt1 PE=4 SV=1 - [A2AFW5_MOUSE],13.74%,1,1,1,1,211,22.6,11.74
E9Q7N6,Protein Gal3st4 OS=Mus musculus GN=Gal3st4 PE=4 SV=1 - [E9Q7N6_MOUSE],1.26%,2,1,1,1,475,53.5,10.01
A2ALA4,Mediator of RNA polymerase II transcription subunit 22 (Fragment) OS=Mus musculus GN=Med22 PE=4 SV=1 - [A2ALA4_MOUSE],25.60%,2,5,5,16,168,19.5,5.12
J3KMQ6,Protein 5730455P16Rik OS=Mus musculus GN=5730455P16Rik PE=4 SV=1 - [J3KMQ6_MOUSE],40.97%,3,10,10,30,393,44.4,5.05
J3QNE8,Putative sodium-coupled neutral amino acid transporter 10 OS=Mus musculus GN=Slc38a10 PE=4 SV=1 - [J3QNE8_MOUSE],9.27%,2,6,6,10,1090,117.1,5.9
A2AEB5,Mortality factor 4-like protein 2 (Fragment) OS=Mus musculus GN=Morf4l2 PE=4 SV=1 - [A2AEB5_MOUSE],20.11%,7,3,3,4,174,19.3,10.1
E9PUQ1,Leucine-zipper-like transcriptional regulator 1 OS=Mus musculus GN=Lztr1 PE=4 SV=1 - [E9PUQ1_MOUSE],3.46%,14,2,3,5,837,94.4,6.51
R4GML6,Centriolin (Fragment) OS=Mus musculus GN=Cntrl PE=4 SV=1 - [R4GML6_MOUSE],2.07%,7,2,3,7,2316,266.6,5.52
E9PVX6,Protein Mki67 OS=Mus musculus GN=Mki67 PE=1 SV=1 - [E9PVX6_MOUSE],0.31%,1,1,1,1,3177,350.7,9.72
F7ASU3,Mitochondrial Rho GTPase 1 (Fragment) OS=Mus musculus GN=Rhot1 PE=4 SV=1 - [F7ASU3_MOUSE],8.06%,1,1,4,6,434,50,8.02
F6V8M6,Ataxin-2 (Fragment) OS=Mus musculus GN=Atxn2 PE=1 SV=1 - [F6V8M6_MOUSE],13.53%,1,1,4,8,399,42.8,8.95
A0A087WQ59,Nucleolar protein 58 (Fragment) OS=Mus musculus GN=Nop58 PE=4 SV=1 - [A0A087WQ59_MOUSE],13.33%,1,1,1,1,60,7.1,4.72
D3YUW7,Cingulin OS=Mus musculus GN=Cgn PE=1 SV=1 - [D3YUW7_MOUSE],4.14%,3,2,5,8,1184,135.7,5.86
D3Z483,Guanine nucleotide-binding protein subunit gamma (Fragment) OS=Mus musculus GN=Gng7 PE=3 SV=1 - [D3Z483_MOUSE],34.21%,3,2,2,4,38,4.2,9.54
A2A513,"Keratin, type I cytoskeletal 10 OS=Mus musculus GN=Krt10 PE=3 SV=1 - [A2A513_MOUSE]",14.97%,5,6,7,10,561,57,5.07
F6YA33,TFIIH basal transcription factor complex helicase XPD subunit (Fragment) OS=Mus musculus GN=Ercc2 PE=4 SV=1 - [F6YA33_MOUSE],6.87%,6,3,4,8,684,77.9,6.74
Q9CQW0,ER membrane protein complex subunit 6 OS=Mus musculus GN=Emc6 PE=2 SV=1 - [EMC6_MOUSE],20.00%,1,2,2,9,110,12,10.07
Q91VR7,Microtubule-associated proteins 1A/1B light chain 3A OS=Mus musculus GN=Map1lc3a PE=1 SV=1 - [MLP3A_MOUSE],23.97%,2,2,3,8,121,14.3,8.68
Q8BU31,Ras-related protein Rap-2c OS=Mus musculus GN=Rap2c PE=1 SV=1 - [RAP2C_MOUSE],26.78%,2,1,3,11,183,20.7,4.94
P63271,Transcription elongation factor SPT4-A OS=Mus musculus GN=Supt4h1a PE=2 SV=1 - [SPT4A_MOUSE],38.46%,4,3,3,8,117,13.2,8.06
O89016,ATP-binding cassette sub-family D member 4 OS=Mus musculus GN=Abcd4 PE=2 SV=2 - [ABCD4_MOUSE],2.81%,1,1,1,1,606,68.5,6.42
Q6PE15,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Mus musculus GN=Abhd10 PE=2 SV=1 - [ABHDA_MOUSE]",9.76%,2,2,2,3,297,33,8.79
Q6P6J0,tRNA-specific adenosine deaminase 2 OS=Mus musculus GN=Adat2 PE=2 SV=1 - [ADAT2_MOUSE],4.71%,1,1,1,2,191,21.3,5.88
Q640N1,Adipocyte enhancer-binding protein 1 OS=Mus musculus GN=Aebp1 PE=1 SV=1 - [AEBP1_MOUSE],5.59%,1,5,5,6,1128,128.3,5.08
Q8BIX3,ARL14 effector protein OS=Mus musculus GN=Arl14ep PE=1 SV=1 - [AL14E_MOUSE],12.32%,1,2,2,3,276,31,8.24
Q8BGT5,Alanine aminotransferase 2 OS=Mus musculus GN=Gpt2 PE=1 SV=1 - [ALAT2_MOUSE],1.72%,1,1,1,1,522,57.9,8
Q9R049,E3 ubiquitin-protein ligase AMFR OS=Mus musculus GN=Amfr PE=1 SV=2 - [AMFR_MOUSE],8.71%,1,3,3,5,643,73.1,6.46
Q6P1H6,Ankyrin repeat and LEM domain-containing protein 2 OS=Mus musculus GN=Ankle2 PE=2 SV=2 - [ANKL2_MOUSE],16.70%,1,10,11,16,964,106.1,7.37
Q8BH07,ADP-ribosylation factor-like protein 6-interacting protein 6 OS=Mus musculus GN=Arl6ip6 PE=1 SV=1 - [AR6P6_MOUSE],7.96%,1,2,2,4,226,24.9,7.77
Q8BHS6,Armadillo repeat-containing X-linked protein 3 OS=Mus musculus GN=Armcx3 PE=1 SV=1 - [ARMX3_MOUSE],10.03%,1,3,3,7,379,42.6,8.68
Q8C6B9,Active regulator of SIRT1 OS=Mus musculus GN=Rps19bp1 PE=1 SV=1 - [AROS_MOUSE],36.36%,1,5,5,10,143,16,10.83
P56212,cAMP-regulated phosphoprotein 19 OS=Mus musculus GN=Arpp19 PE=1 SV=2 - [ARP19_MOUSE],42.86%,4,3,4,20,112,12.3,9.09
P14231,Sodium/potassium-transporting ATPase subunit beta-2 OS=Mus musculus GN=Atp1b2 PE=1 SV=2 - [AT1B2_MOUSE],20.69%,2,4,4,14,290,33.3,8.31
Q99J83,Autophagy protein 5 OS=Mus musculus GN=Atg5 PE=1 SV=1 - [ATG5_MOUSE],22.91%,1,7,7,16,275,32.4,5.91
Q8CI61,BAG family molecular chaperone regulator 4 OS=Mus musculus GN=Bag4 PE=1 SV=2 - [BAG4_MOUSE],15.32%,1,6,6,8,457,49.1,5.34
O55028,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial OS=Mus musculus GN=Bckdk PE=1 SV=1 - [BCKD_MOUSE]",8.74%,2,2,3,15,412,46.6,8.91
O35623,BET1 homolog OS=Mus musculus GN=Bet1 PE=1 SV=1 - [BET1_MOUSE],24.58%,1,2,2,10,118,13.3,9.07
Q3TMW1,Coiled-coil domain-containing protein 102A OS=Mus musculus GN=Ccdc102a PE=2 SV=2 - [C102A_MOUSE],4.37%,7,1,4,6,549,62.6,5.69
Q3V3R1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Mus musculus GN=Mthfd1l PE=1 SV=2 - [C1TM_MOUSE]",3.28%,1,2,3,3,977,105.7,7.02
Q8K207,Uncharacterized protein C1orf21 homolog OS=Mus musculus PE=1 SV=1 - [CA021_MOUSE],39.67%,2,4,4,7,121,13.9,5.22
Q9QXV1,Chromobox protein homolog 8 OS=Mus musculus GN=Cbx8 PE=1 SV=1 - [CBX8_MOUSE],24.59%,1,7,7,14,362,39.8,9.94
Q99LQ4,Coiled-coil domain-containing protein 23 OS=Mus musculus GN=Ccdc23 PE=2 SV=1 - [CCD23_MOUSE],22.73%,2,1,1,4,66,7.8,9.16
Q6PHN1,Coiled-coil domain-containing protein 57 OS=Mus musculus GN=Ccdc57 PE=2 SV=1 - [CCD57_MOUSE],1.97%,6,1,3,11,1016,116.1,6.93
Q9JJ89,Coiled-coil domain-containing protein 86 OS=Mus musculus GN=Ccdc86 PE=1 SV=2 - [CCD86_MOUSE],5.87%,1,3,3,5,426,46.5,9.64
Q8CDL9,Coiled-coil domain-containing protein 87 OS=Mus musculus GN=Ccdc87 PE=2 SV=2 - [CCD87_MOUSE],1.05%,1,1,1,2,855,98.4,8.53
Q8VC31,Coiled-coil domain-containing protein 9 OS=Mus musculus GN=Ccdc9 PE=2 SV=1 - [CCDC9_MOUSE],14.00%,7,8,8,9,543,61.4,5
Q8K2I2,Coiled-coil alpha-helical rod protein 1 OS=Mus musculus GN=Cchcr1 PE=2 SV=3 - [CCHCR_MOUSE],1.56%,3,1,2,2,770,87.1,5.96
Q9WU84,Copper chaperone for superoxide dismutase OS=Mus musculus GN=Ccs PE=2 SV=1 - [CCS_MOUSE],49.27%,1,8,8,23,274,28.9,6.1
Q8BGN2,UPF0462 protein C4orf33 homolog OS=Mus musculus GN=D3Ertd751e PE=2 SV=1 - [CD033_MOUSE],23.96%,3,4,4,6,192,22.4,5.58
Q9CWK3,CD2 antigen cytoplasmic tail-binding protein 2 OS=Mus musculus GN=Cd2bp2 PE=1 SV=1 - [CD2B2_MOUSE],16.08%,1,4,4,14,342,37.7,4.6
Q80YP0,Cyclin-dependent kinase 3 OS=Mus musculus GN=Cdk3 PE=1 SV=2 - [CDK3_MOUSE],4.62%,2,1,1,2,303,33.9,9
Q80X32,UPF0461 protein C5orf24 homolog OS=Mus musculus PE=2 SV=1 - [CE024_MOUSE],34.04%,1,5,5,12,188,20.1,9.92
O35216,Histone H3-like centromeric protein A OS=Mus musculus GN=Cenpa PE=2 SV=1 - [CENPA_MOUSE],12.69%,1,2,2,3,134,15.5,11.27
O35648,Centrin-3 OS=Mus musculus GN=Cetn3 PE=2 SV=1 - [CETN3_MOUSE],12.57%,1,2,2,4,167,19.5,4.78
Q8BHG9,CGG triplet repeat-binding protein 1 OS=Mus musculus GN=Cggbp1 PE=2 SV=1 - [CGBP1_MOUSE],43.71%,1,7,7,17,167,18.7,8.95
Q8K2T4,Ubiquinol-cytochrome-c reductase complex assembly factor 3 OS=Mus musculus GN=Uqcc3 PE=2 SV=1 - [UQCC3_MOUSE],42.70%,1,4,4,10,89,9.6,9.52
O88200,C-type lectin domain family 11 member A OS=Mus musculus GN=Clec11a PE=2 SV=1 - [CLC11_MOUSE],2.44%,1,1,1,2,328,36.4,5
Q9CQX5,Claudin domain-containing protein 1 OS=Mus musculus GN=Cldnd1 PE=1 SV=1 - [CLDN1_MOUSE],11.46%,3,2,2,2,253,28.6,6.1
Q9JJZ8,Cyclic nucleotide-gated cation channel alpha-3 OS=Mus musculus GN=Cnga3 PE=1 SV=2 - [CNGA3_MOUSE],0.95%,1,1,1,1,631,72.7,6.99
Q04857,Collagen alpha-1(VI) chain OS=Mus musculus GN=Col6a1 PE=2 SV=1 - [CO6A1_MOUSE],2.83%,1,1,1,1,1025,108.4,5.36
Q9D2R6,"Cytochrome c oxidase assembly factor 3 homolog, mitochondrial OS=Mus musculus GN=Coa3 PE=2 SV=1 - [COA3_MOUSE]",26.85%,2,3,3,10,108,12,9.86
Q8K0C8,Cytochrome c oxidase assembly protein COX19 OS=Mus musculus GN=Cox19 PE=3 SV=1 - [COX19_MOUSE],21.74%,2,2,2,2,92,10.8,8.07
Q9CPZ8,COX assembly mitochondrial protein homolog OS=Mus musculus GN=Cmc1 PE=3 SV=1 - [COXM1_MOUSE],45.28%,1,3,3,7,106,12.5,8.24
Q6PIX9,Uncharacterized protein C17orf80 homolog OS=Mus musculus GN=D11Wsu47e PE=2 SV=3 - [CQ080_MOUSE],1.79%,1,1,1,2,558,60.2,9.5
